serialNoValue;transceiverType;softwareVersion;antennaVersion;satelliteNumber;dnidNumber;memberIdnumber;installedByName;expectedFrequencyHours;expectedFrequencyMinutes;gracePeriodFrequencyHours;gracePeriodFrequencyMinutes;inPortFrequencyHours;inPortFrequencyMinutes
5TT0909EB001;Sailor 1001M MiniC;A1;A2;420009001;10701;201;Mike Andersson;5;30;6;45;7;10
6TC0000EB002;Sailor 2000M MiniC;BB;CC;520009002;10702;102;Greger Kurt;4;0;6;5;7;30
3AA0000EB003;Sailor 2000M MiniC;BB;CC;520009003;10703;333;Mike Slow;3;55;4;50;2;30
2AB0000ZZ004;Sailor 5555M MiniC;A1;A1;220000004;10704;333;Jack Brown;0;55;0;50;0;30
88CD000AA005;Sailor 6005M MiniC;D1;D1;220010005;10705;888;Tim Black;18;25;07;0;3;30
18YG0J00A006;Sailor 6006M MiniC;D1;A;230020006;10706;432;Jill Mark;0;30;0;45;0;30
KAA0AA000007;Sailor 2111M MiniC;A;C;520009007;10707;101;Mike Slow;0;55;2;50;23;30
4444000XZ008;Sailor 1111M MiniC;D1;D1;220010008;10708;500;Kim White;0;0;7;10;0;15
7ZZ0000ZZ009;Sailor 7757M MiniC;AAA1;BBB1;220000009;10709;501;Ann Smartson;0;5;0;5;0;5
9DDD00000010;Sailor 9999M MiniC;AAA1;BBB1;220000010;10710;510;Ann Smartson;3;45;2;35;1;25
